Obd2Service 	 speed (m/sec)
Obd2Service 	 210.000000
Obd2Service 	 130.000000
Obd2Service 	 80.000000
Obd2Service 	 130.000000
Obd2Service 	 90.000000
Obd2Service 	 0.000000
Obd2Service 	 0.000000
Obd2Service 	 0.000000
Obd2Service 	 10.000000
Obd2Service 	 0.000000
Obd2Service 	 0.000000
Obd2Service 	 50.000000
Obd2Service 	 100.000000
Obd2Service 	 180.000000
Obd2Service 	 220.000000
Obd2Service 	 260.000000
Obd2Service 	 190.000000
Obd2Service 	 330.000000
Obd2Service 	 200.000000
Obd2Service 	 240.000000
Obd2Service 	 300.000000
Obd2Service 	 410.000000
Obd2Service 	 380.000000
Obd2Service 	 480.000000
Obd2Service 	 600.000000
Obd2Service 	 390.000000
Obd2Service 	 430.000000
Obd2Service 	 400.000000
Obd2Service 	 280.000000
Obd2Service 	 280.000000
Obd2Service 	 400.000000
Obd2Service 	 470.000000
Obd2Service 	 410.000000
Obd2Service 	 250.000000
Obd2Service 	 260.000000
Obd2Service 	 420.000000
Obd2Service 	 310.000000
Obd2Service 	 240.000000
Obd2Service 	 190.000000
Obd2Service 	 190.000000
Obd2Service 	 210.000000
Obd2Service 	 260.000000
Obd2Service 	 130.000000
Obd2Service 	 60.000000
Obd2Service 	 60.000000
Obd2Service 	 0.000000
Obd2Service 	 20.000000
Obd2Service 	 60.000000
Obd2Service 	 210.000000
Obd2Service 	 50.000000
Obd2Service 	 50.000000
Obd2Service 	 40.000000
Obd2Service 	 70.000000
Obd2Service 	 0.000000
Obd2Service 	 60.000000
Obd2Service 	 140.000000
Obd2Service 	 40.000000
Obd2Service 	 100.000000
Obd2Service 	 170.000000
Obd2Service 	 180.000000
Obd2Service 	 190.000000
Obd2Service 	 180.000000
Obd2Service 	 210.000000
Obd2Service 	 150.000000
Obd2Service 	 50.000000
Obd2Service 	 120.000000
Obd2Service 	 350.000000
Obd2Service 	 190.000000
Obd2Service 	 240.000000
Obd2Service 	 180.000000
Obd2Service 	 220.000000
Obd2Service 	 350.000000
Obd2Service 	 210.000000
Obd2Service 	 290.000000
Obd2Service 	 330.000000
Obd2Service 	 210.000000
Obd2Service 	 300.000000
Obd2Service 	 250.000000
Obd2Service 	 270.000000
Obd2Service 	 330.000000
Obd2Service 	 260.000000
Obd2Service 	 190.000000
Obd2Service 	 240.000000
Obd2Service 	 230.000000
Obd2Service 	 160.000000
Obd2Service 	 170.000000
Obd2Service 	 170.000000
Obd2Service 	 140.000000
Obd2Service 	 210.000000
Obd2Service 	 100.000000
Obd2Service 	 40.000000
Obd2Service 	 100.000000
Obd2Service 	 150.000000
Obd2Service 	 150.000000
Obd2Service 	 110.000000
Obd2Service 	 230.000000
Obd2Service 	 120.000000
Obd2Service 	 20.000000
Obd2Service 	 50.000000
Obd2Service 	 40.000000
Obd2Service 	 150.000000
Obd2Service 	 60.000000
Obd2Service 	 10.000000
Obd2Service 	 50.000000
Obd2Service 	 140.000000
Obd2Service 	 170.000000
Obd2Service 	 120.000000
Obd2Service 	 0.000000
Obd2Service 	 0.000000
Obd2Service 	 0.000000
Obd2Service 	 0.000000
Obd2Service 	 0.000000
Obd2Service 	 40.000000
Obd2Service 	 40.000000
Obd2Service 	 0.000000
Obd2Service 	 0.000000
Obd2Service 	 0.000000
Obd2Service 	 0.000000
Obd2Service 	 60.000000
Obd2Service 	 190.000000
Obd2Service 	 120.000000
Obd2Service 	 100.000000
Obd2Service 	 130.000000
Obd2Service 	 40.000000
Obd2Service 	 180.000000
Obd2Service 	 240.000000
Obd2Service 	 270.000000
Obd2Service 	 210.000000
Obd2Service 	 200.000000
Obd2Service 	 110.000000
Obd2Service 	 90.000000
Obd2Service 	 120.000000
Obd2Service 	 30.000000
Obd2Service 	 110.000000
Obd2Service 	 140.000000
Obd2Service 	 150.000000
Obd2Service 	 220.000000
Obd2Service 	 230.000000
Obd2Service 	 140.000000
Obd2Service 	 80.000000
Obd2Service 	 100.000000
Obd2Service 	 230.000000
Obd2Service 	 150.000000
Obd2Service 	 80.000000
Obd2Service 	 0.000000
Obd2Service 	 0.000000
Obd2Service 	 50.000000
Obd2Service 	 0.000000
Obd2Service 	 60.000000
Obd2Service 	 0.000000
Obd2Service 	 60.000000
Obd2Service 	 220.000000
Obd2Service 	 210.000000
Obd2Service 	 130.000000
Obd2Service 	 160.000000
Obd2Service 	 140.000000
Obd2Service 	 140.000000
Obd2Service 	 110.000000
Obd2Service 	 10.000000
Obd2Service 	 10.000000
Obd2Service 	 0.000000
Obd2Service 	 120.000000
Obd2Service 	 100.000000
Obd2Service 	 170.000000
Obd2Service 	 160.000000
Obd2Service 	 200.000000
Obd2Service 	 120.000000
Obd2Service 	 240.000000
Obd2Service 	 180.000000
Obd2Service 	 170.000000
Obd2Service 	 60.000000
Obd2Service 	 60.000000
Obd2Service 	 160.000000
Obd2Service 	 80.000000
Obd2Service 	 60.000000
Obd2Service 	 30.000000
Obd2Service 	 110.000000
Obd2Service 	 80.000000
Obd2Service 	 100.000000
Obd2Service 	 160.000000
Obd2Service 	 120.000000
Obd2Service 	 90.000000
Obd2Service 	 20.000000
Obd2Service 	 130.000000
Obd2Service 	 150.000000
Obd2Service 	 160.000000
Obd2Service 	 190.000000
Obd2Service 	 140.000000
Obd2Service 	 50.000000
Obd2Service 	 60.000000
Obd2Service 	 150.000000
Obd2Service 	 150.000000
Obd2Service 	 100.000000
Obd2Service 	 20.000000
Obd2Service 	 150.000000
Obd2Service 	 120.000000
Obd2Service 	 90.000000
Obd2Service 	 90.000000
Obd2Service 	 0.000000
Obd2Service 	 0.000000
Obd2Service 	 0.000000
Obd2Service 	 0.000000
Obd2Service 	 0.000000
Obd2Service 	 0.000000
Obd2Service 	 0.000000
Obd2Service 	 0.000000
Obd2Service 	 0.000000
Obd2Service 	 0.000000
Obd2Service 	 60.000000
Obd2Service 	 60.000000
Obd2Service 	 130.000000
Obd2Service 	 160.000000
Obd2Service 	 50.000000
Obd2Service 	 0.000000
Obd2Service 	 0.000000
Obd2Service 	 40.000000
Obd2Service 	 180.000000
Obd2Service 	 60.000000
Obd2Service 	 10.000000
Obd2Service 	 110.000000
Obd2Service 	 200.000000
Obd2Service 	 120.000000
Obd2Service 	 0.000000
Obd2Service 	 0.000000
Obd2Service 	 0.000000
Obd2Service 	 40.000000
Obd2Service 	 140.000000
Obd2Service 	 220.000000
Obd2Service 	 110.000000
Obd2Service 	 180.000000
Obd2Service 	 120.000000
Obd2Service 	 180.000000
Obd2Service 	 140.000000
Obd2Service 	 180.000000
Obd2Service 	 160.000000
Obd2Service 	 210.000000
Obd2Service 	 200.000000
Obd2Service 	 290.000000
Obd2Service 	 510.000000
Obd2Service 	 380.000000
Obd2Service 	 530.000000
Obd2Service 	 700.000000
Obd2Service 	 550.000000
Obd2Service 	 490.000000
Obd2Service 	 560.000000
Obd2Service 	 540.000000
Obd2Service 	 370.000000
Obd2Service 	 420.000000
Obd2Service 	 410.000000
Obd2Service 	 300.000000
Obd2Service 	 430.000000
Obd2Service 	 430.000000
Obd2Service 	 440.000000
Obd2Service 	 430.000000
Obd2Service 	 430.000000
Obd2Service 	 470.000000
Obd2Service 	 390.000000
Obd2Service 	 510.000000
Obd2Service 	 310.000000
Obd2Service 	 250.000000
Obd2Service 	 330.000000
Obd2Service 	 270.000000
Obd2Service 	 250.000000
Obd2Service 	 180.000000
Obd2Service 	 340.000000
Obd2Service 	 190.000000
Obd2Service 	 260.000000
Obd2Service 	 110.000000
Obd2Service 	 140.000000
Obd2Service 	 20.000000
Obd2Service 	 70.000000
Obd2Service 	 50.000000
Obd2Service 	 120.000000
Obd2Service 	 170.000000
Obd2Service 	 60.000000
Obd2Service 	 20.000000
Obd2Service 	 10.000000
Obd2Service 	 0.000000
Obd2Service 	 0.000000
Obd2Service 	 50.000000
Obd2Service 	 150.000000
Obd2Service 	 150.000000
Obd2Service 	 220.000000
Obd2Service 	 110.000000
Obd2Service 	 150.000000
Obd2Service 	 80.000000
Obd2Service 	 0.000000
Obd2Service 	 70.000000
Obd2Service 	 0.000000
Obd2Service 	 0.000000
Obd2Service 	 0.000000
Obd2Service 	 0.000000
Obd2Service 	 60.000000
Obd2Service 	 40.000000
Obd2Service 	 130.000000
Obd2Service 	 230.000000
Obd2Service 	 70.000000
Obd2Service 	 150.000000
Obd2Service 	 20.000000
Obd2Service 	 0.000000
Obd2Service 	 50.000000
Obd2Service 	 20.000000
Obd2Service 	 0.000000
Obd2Service 	 0.000000
Obd2Service 	 0.000000
Obd2Service 	 0.000000
Obd2Service 	 0.000000
Obd2Service 	 10.000000
Obd2Service 	 0.000000
Obd2Service 	 60.000000
Obd2Service 	 90.000000
Obd2Service 	 50.000000
Obd2Service 	 100.000000
Obd2Service 	 90.000000
Obd2Service 	 170.000000
Obd2Service 	 60.000000
Obd2Service 	 40.000000
Obd2Service 	 50.000000
Obd2Service 	 20.000000
Obd2Service 	 20.000000
Obd2Service 	 10.000000
Obd2Service 	 30.000000
Obd2Service 	 20.000000
Obd2Service 	 0.000000
Obd2Service 	 0.000000
Obd2Service 	 60.000000
Obd2Service 	 90.000000
Obd2Service 	 100.000000
Obd2Service 	 40.000000
Obd2Service 	 50.000000
Obd2Service 	 50.000000
Obd2Service 	 110.000000
Obd2Service 	 120.000000
Obd2Service 	 230.000000
Obd2Service 	 20.000000
Obd2Service 	 70.000000
Obd2Service 	 0.000000
Obd2Service 	 0.000000
Obd2Service 	 0.000000
Obd2Service 	 40.000000
Obd2Service 	 120.000000
Obd2Service 	 160.000000
Obd2Service 	 200.000000
Obd2Service 	 250.000000
Obd2Service 	 240.000000
Obd2Service 	 190.000000
Obd2Service 	 350.000000
Obd2Service 	 210.000000
Obd2Service 	 350.000000
Obd2Service 	 200.000000
Obd2Service 	 240.000000
Obd2Service 	 350.000000
Obd2Service 	 290.000000
Obd2Service 	 410.000000
Obd2Service 	 220.000000
Obd2Service 	 270.000000
Obd2Service 	 320.000000
Obd2Service 	 250.000000
Obd2Service 	 240.000000
Obd2Service 	 200.000000
Obd2Service 	 280.000000
Obd2Service 	 270.000000
Obd2Service 	 180.000000
Obd2Service 	 300.000000
Obd2Service 	 330.000000
Obd2Service 	 270.000000
Obd2Service 	 440.000000
Obd2Service 	 200.000000
Obd2Service 	 310.000000
Obd2Service 	 400.000000
Obd2Service 	 350.000000
Obd2Service 	 330.000000
Obd2Service 	 500.000000
Obd2Service 	 440.000000
Obd2Service 	 380.000000
Obd2Service 	 420.000000
Obd2Service 	 410.000000
Obd2Service 	 600.000000
Obd2Service 	 520.000000
Obd2Service 	 610.000000
Obd2Service 	 500.000000
Obd2Service 	 560.000000
Obd2Service 	 470.000000
Obd2Service 	 240.000000
Obd2Service 	 520.000000
Obd2Service 	 580.000000
Obd2Service 	 620.000000
Obd2Service 	 420.000000
Obd2Service 	 470.000000
Obd2Service 	 730.000000
Obd2Service 	 630.000000
Obd2Service 	 690.000000
Obd2Service 	 800.000000
Obd2Service 	 700.000000
Obd2Service 	 730.000000
Obd2Service 	 780.000000
Obd2Service 	 770.000000
Obd2Service 	 570.000000
Obd2Service 	 800.000000
Obd2Service 	 740.000000
Obd2Service 	 680.000000
Obd2Service 	 800.000000
Obd2Service 	 560.000000
Obd2Service 	 580.000000
Obd2Service 	 650.000000
Obd2Service 	 910.000000
Obd2Service 	 770.000000
Obd2Service 	 670.000000
Obd2Service 	 640.000000
Obd2Service 	 710.000000
Obd2Service 	 710.000000
Obd2Service 	 780.000000
Obd2Service 	 650.000000
Obd2Service 	 590.000000
Obd2Service 	 650.000000
Obd2Service 	 500.000000
Obd2Service 	 680.000000
Obd2Service 	 590.000000
Obd2Service 	 580.000000
Obd2Service 	 650.000000
Obd2Service 	 600.000000
Obd2Service 	 760.000000
Obd2Service 	 800.000000
Obd2Service 	 720.000000
Obd2Service 	 630.000000
Obd2Service 	 620.000000
Obd2Service 	 790.000000
Obd2Service 	 790.000000
Obd2Service 	 820.000000
Obd2Service 	 890.000000
Obd2Service 	 910.000000
Obd2Service 	 770.000000
Obd2Service 	 850.000000
Obd2Service 	 670.000000
Obd2Service 	 920.000000
Obd2Service 	 810.000000
Obd2Service 	 720.000000
Obd2Service 	 670.000000
Obd2Service 	 580.000000
Obd2Service 	 560.000000
Obd2Service 	 420.000000
Obd2Service 	 410.000000
Obd2Service 	 370.000000
Obd2Service 	 320.000000
Obd2Service 	 390.000000
Obd2Service 	 390.000000
Obd2Service 	 320.000000
Obd2Service 	 300.000000
Obd2Service 	 190.000000
Obd2Service 	 390.000000
Obd2Service 	 350.000000
Obd2Service 	 210.000000
Obd2Service 	 540.000000
Obd2Service 	 530.000000
Obd2Service 	 600.000000
Obd2Service 	 520.000000
Obd2Service 	 560.000000
Obd2Service 	 430.000000
Obd2Service 	 670.000000
Obd2Service 	 620.000000
Obd2Service 	 390.000000
Obd2Service 	 340.000000
Obd2Service 	 280.000000
Obd2Service 	 300.000000
Obd2Service 	 310.000000
Obd2Service 	 350.000000
Obd2Service 	 380.000000
Obd2Service 	 360.000000
Obd2Service 	 350.000000
