Dcc 	 Index 	Channel Load 	Flush req in BE 	Flush not req in BE 	Flush req in BE in last 1 sec 	Flush not req in BE in last 1 sec
Dcc 	 0	-1.000000	0	0	0	4289545186
Dcc 	 1	-1.000000	0	0	0	0
Dcc 	 2	-1.000000	0	0	0	0
Dcc 	 3	-1.000000	0	0	0	0
Dcc 	 4	-1.000000	0	0	0	0
Dcc 	 5	-1.000000	0	0	0	0
Dcc 	 6	-1.000000	0	0	0	0
Dcc 	 7	-1.000000	0	0	0	0
Dcc 	 8	-1.000000	0	0	0	0
Dcc 	 9	-1.000000	0	0	0	0
Dcc 	 10	-1.000000	0	0	0	0
Dcc 	 11	-1.000000	0	0	0	0
Dcc 	 12	-1.000000	0	0	0	0
Dcc 	 13	-1.000000	0	0	0	0
Dcc 	 14	-1.000000	0	0	0	0
Dcc 	 15	-1.000000	0	0	0	0
Dcc 	 16	-1.000000	0	0	0	0
Dcc 	 17	-1.000000	0	0	0	0
Dcc 	 18	-1.000000	0	0	0	0
Dcc 	 19	-1.000000	0	0	0	0
Dcc 	 20	-1.000000	0	0	0	0
Dcc 	 21	-1.000000	0	0	0	0
Dcc 	 22	-1.000000	0	0	0	0
Dcc 	 23	-1.000000	0	0	0	0
Dcc 	 24	-1.000000	0	0	0	0
Dcc 	 25	-1.000000	0	0	0	0
Dcc 	 26	-1.000000	0	0	0	0
Dcc 	 27	-1.000000	0	0	0	0
Dcc 	 28	-1.000000	0	0	0	0
Dcc 	 29	-1.000000	0	0	0	0
Dcc 	 30	-1.000000	0	0	0	0
Dcc 	 31	-1.000000	0	0	0	0
Dcc 	 32	-1.000000	0	0	0	0
Dcc 	 33	-1.000000	0	0	0	0
Dcc 	 34	-1.000000	0	0	0	0
Dcc 	 35	-1.000000	0	0	0	0
Dcc 	 36	-1.000000	0	0	0	0
Dcc 	 37	-1.000000	0	0	0	0
Dcc 	 38	-1.000000	0	0	0	0
Dcc 	 39	-1.000000	0	0	0	0
Dcc 	 40	-1.000000	0	0	0	0
Dcc 	 41	-1.000000	0	0	0	0
Dcc 	 42	-1.000000	0	0	0	0
Dcc 	 43	-1.000000	0	0	0	0
Dcc 	 44	-1.000000	0	0	0	0
Dcc 	 45	-1.000000	0	0	0	0
Dcc 	 46	-1.000000	0	0	0	0
Dcc 	 47	-1.000000	0	0	0	0
Dcc 	 48	-1.000000	0	0	0	0
Dcc 	 49	-1.000000	0	0	0	0
Dcc 	 50	-1.000000	0	0	0	0
Dcc 	 51	-1.000000	0	0	0	0
Dcc 	 52	-1.000000	0	0	0	0
Dcc 	 53	-1.000000	0	0	0	0
Dcc 	 54	-1.000000	0	0	0	0
Dcc 	 55	-1.000000	0	0	0	0
Dcc 	 56	-1.000000	0	0	0	0
Dcc 	 57	-1.000000	0	0	0	0
Dcc 	 58	-1.000000	0	0	0	0
Dcc 	 59	-1.000000	0	0	0	0
Dcc 	 60	-1.000000	0	0	0	0
Dcc 	 61	-1.000000	0	0	0	0
Dcc 	 62	-1.000000	0	0	0	0
Dcc 	 63	-1.000000	0	0	0	0
Dcc 	 64	-1.000000	0	0	0	0
Dcc 	 65	-1.000000	0	0	0	0
Dcc 	 66	-1.000000	0	0	0	0
Dcc 	 67	-1.000000	0	0	0	0
